Drug,SMILES,Groups
"N-[(6S)-6-Carboxy-6-(glycylamino)hexanoyl]-D-alanyl-D-alanine",[H]N([H])CC(=O)N([H])[C@@H](CCCCC(=O)N([H])[C@H](C)C(=O)N([H])[C@H](C)C(O)=O)C(O)=O,Experimental
"Acrylic Acid",OC(=O)C=C,Experimental
"Pentaglyme",COCCOCCOCCOCCOCCOC,Experimental
"N(2)-carbamimidoyl-N-{2-[4-(3-{4-[(5-carboxyfuran-2-yl)methoxy]-2,3-dichlorophenyl}-1-methyl-1H-pyrazol-5-yl)piperidin-1-yl]-2-oxoethyl}-D-leucinamide",CC(C)C[C@@H](NC(N)=N)C(=O)NCC(=O)N1CCC(CC1)C1=CC(=NN1C)C1=CC=C(OCC2=CC=C(O2)C(O)=O)C(Cl)=C1Cl,Experimental
"(6Z)-6-{[(1Z)-1-{[(1R)-1-Carboxy-2-methyl-2-propen-1-yl]imino}-1-hydroxy-3-sulfanyl-2-propanyl]imino}-6-hydroxynorleucine",[H][C@@](N=C(O)C(CS)N=C(O)CCCC(N)C(O)=O)(C(C)=C)C(O)=O,Experimental
"N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine",COC1=CC(CN(C)C2=CC3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1,Experimental
"4-(Hydroxymethyl)Benzamidine",NC(=N)C1=CC=C(CO)C=C1,Experimental
"4,7-Dimethyl-[1,10]Phenanthroline",CC1=CC=NC2=C3N=CC=C(C)C3=CC=C12,Experimental
"Colforsin",[H][C@]1(O)CCC(C)(C)[C@]2([H])[C@]([H])(O)[C@]([H])(OC(C)=O)[C@@]3(C)O[C@](C)(CC(=O)[C@]3(O)[C@@]12C)C=C,Experimental;Investigational
"(2R)-2-[(1R)-1-{[(2S)-2-Carboxy-2-(4-hydroxyphenyl)acetyl]amino}-1-methoxy-2-oxoethyl]-5-methylene-5,6-dihydro-2H-1,3-oxazine-4-carboxylic acid",COC(NC(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)(C=O)[C@H]1OCC(=C)C(=N1)C(O)=O,Experimental
"Se-Ethyl-Isoselenourea",CC[Se]C(N)=N,Experimental
"Abequose",[H][C@@]1(O)C[C@@]([H])(O)[C@@]([H])(O)O[C@]1([H])C,Experimental
"5,6-Dimethylbenzimidazole",CC1=CC2=C(C=C1C)N=CN2,Experimental
"Carbaphosphonate",[H][C@@]1(O)C[C@@](O)(C[C@]([H])(CP(O)(O)=O)[C@@]1([H])O)C(O)=O,Experimental
"7,8-Dihydroxy-1-Methoxy-3-Methyl-10-Oxo-4,10-Dihydro-1h,3h-Pyrano[4,3-B]Chromene-9-Carboxylic Acid",[H][C@]1(C)CC2=C(C(=O)C3=C(O2)C=C(O)C(O)=C3C(O)=O)[C@]([H])(OC)O1,Experimental
"2'-Deoxycytidine",NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,Experimental;Investigational
"(2R,3S,5S)-2-(Hydroxymethyl)-5-[(2-sulfoethyl)carbamoyl]-3-pyrrolidiniumyl 2-acetamido-2-deoxy-4-O-sulfo-beta-D-glucopyranoside",[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],Experimental
"Alpha,Beta-Methyleneadenosine-5'-Triphosphate",[H][C@]1(COP(O)(=O)CP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,Experimental
"[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala",[H][C@@](C)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)[C@@]([H])(S)CCCCC)C(O)=O,Experimental
"N-Alpha-Acetyl-3,5-Diiodotyrosylglycine",CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,Experimental
"2,6-Diamino-8-Propylsulfanylmethyl-3h-Quinazoline-4-One",CCCSCC1=CC(N)=CC2=C1N=C(N)NC2=O,Experimental
"Oseltamivir acid",CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O,Experimental
"4-Hydroxyphenylglycine",NC(C(O)=O)C1=CC=C(O)C=C1,Experimental
"AL7182",COC1=CC(=CC=C1)N1CCC2=C(SC(=C2)S(N)(=O)=O)S1(=O)=O,Experimental
"1-Amino-6-Cyclohex-3-Enylmethyloxypurine",NC1=NC(OCC2CCCCC2)=C2N=CNC2=C1,Experimental
"2-Deoxy-Glucose-6-Phosphate",O[C@H]1C[C@@H](O)[C@H](O)[C@@H](COP(O)(O)=O)O1,Experimental
"2-Butanol",CC[C@@H](C)O,Experimental;Investigational
"Adenosine Phosphonoacetic Acid",[H][C@]1(COC(=O)CP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,Experimental
"N-[(1R,2R)-1,3-Dihydroxy-1-(4-nitrophenyl)-2-propanyl]acetamide",[H]N([C@H](CO)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O)C(C)=O,Experimental
"4-Hydroxy-L-Threonine-5-Monophosphate",N[C@@H]([C@H](O)COP(O)(O)=O)C(O)=O,Experimental
"N-(2,3,4,5,6-Pentaflouro-Benzyl)-4-Sulfamoyl-Benzamide",NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C(F)=C(F)C(F)=C1F,Experimental
"Balanol Analog 1",[H][C@]1(CNCCC[C@@]1([H])OC(=O)C1=CC=C(O)C=C1)NC(=O)C1=CC=C(O)C=C1,Experimental
"Decylamine-N,N-Dimethyl-N-Oxide",CCCCCCCCCC[N+](C)(C)[O-],Experimental
"1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid",[H][C@@](CC1=CC=CC(=C1)C(O)=O)(NC(C)=O)B(O)O,Experimental
"Compound 19",[H][C@@](C)(COC1=CC=C(C=C1)[C@]1([H])OC2=C(S[C@]1([H])C1=CC=C(O)C=C1)C=C(O)C=C2)N1CCCC1,Experimental
"FR117016",NC(N)=NC1=NC(=CS1)C1=CC=C(CNC2=NC3=C(N2)C=CC=C3)S1,Experimental
"1-(N-Imidazolyl)-2-Hydroxy-2-(2,3-Dichlorophenyl)Octane",CCCCCC[C@](O)(CN1C=CN=C1)C1=CC=C(Cl)C=C1Cl,Experimental
"Ethyl Dimethyl Ammonio Propane Sulfonate",CC[N+](C)(C)CCCS([O-])(=O)=O,Experimental
"Bromo-Dodecanol",OCCCCCCCCCCCCBr,Experimental
"3-(4-{2-[2-(2-bromo-acetylamino)-ethyldisulfanyl]-ethylcarbamoyl}-cyclohexylcarbamoyl)-pyrazine-2-carboxylic acid",CC(=O)NCCSSCCNC(=O)C1CCC(CC1)NC(=O)C1=NC=CN=C1C(O)=O,Experimental
"Latrunculin A",[H][C@]1(CSC(=O)N1)[C@@]1(O)C[C@H]2C[C@@H](CC[C@H](C)\C=C/C=C/CC\C(C)=C/C(=O)O2)O1,Experimental
"2-(Oxalyl-Amino)-Benzoic Acid",OC(=O)C(=O)NC1=C(C=CC=C1)C(O)=O,Experimental
"Aminophosphonic acid-guanylate ester",[H]N([H])C1=NC(=O)C2=C(N1[H])N(C=N2)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)N([H])[H])[C@@H](O)[C@H]1O,Experimental
"Homoserine Lactone",N[C@@H]1CCOC1=O,Experimental
"(2r)-2-{[Formyl(Hydroxy)Amino]Methyl}Hexanoic Acid",[H][C@@](CCCC)(CN(O)C=O)C(O)=O,Experimental
"Phenylferricrocin-iron",[Fe].CC(=[OH+])N(O)CCC[C@@H]1NC(=O)CNC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CNC(=O)[C@H](CCCN(O)C(C)=[OH+])NC(=O)[C@H](CCCN(O)C(C)=[OH+])NC1=O,Experimental
"4,4'-Biphenyldiboronic Acid",OB(O)C1=CC=C(C=C1)C1=CC=C(C=C1)B(O)O,Experimental
"1-[3,3-Dimethyl-2-(2-Methylamino-Propionylamino)-Butyryl]-Pyrrolidine-2-Carboxylic Acid(1,2,3,4-Tetrahydro-Naphthalen-1-Yl)-Amide",[H][C@@](C)(NC)C(=O)N[C@]([H])(C(=O)N1CCC[C@@]1([H])C(=O)N[C@]1([H])CCCC2=C1C=CC=C2)C(C)(C)C,Experimental
"N,N-[2,5-O-di-2-fluoro-benzyl-glucaryl]-di-[1-amino-indan-2-ol]",O[C@H]([C@@H](O)[C@@H](OCC1=C(F)C=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12)[C@@H](OCC1=CC=CC=C1F)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2,Experimental
"L-xylitol 5-phosphate",OC[C@@H](O)[C@H](O)[C@@H](O)COP(O)(O)=O,Experimental
"4-nitrophenyl-beta-D-galactoside",[H][C@]1(CO)O[C@@]([H])(OC2=CC=C(C=C2)N(=O)=O)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Experimental
"Cibacron Blue",NC1=C(C=C(NC2=CC=C(NC3=NC(Cl)=NC(NC4=CC=CC=C4S(O)(=O)=O)=N3)C(=C2)S(O)(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S(O)(=O)=O,Experimental
"N-[O-Phosphono-Pyridoxyl]-Isoleucine",[H][C@](C)(CC)[C@@]([H])(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O,Experimental
"9-Hydroxy-8-Methoxy-6-Nitro-Phenanthrol[3,4-D][1,3]Dioxole-5-Carboxylic Acid",COC1=C(O)C=CC2=C1C=C(C1=C2C2=C(OCO2)C=C1C(O)=O)[N+]([O-])=O,Experimental
"Oxaloacetate Ion",OC(=O)C(=O)CC([O-])=O,Experimental
"Terlipressin",NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,Approved;Investigational
"4-methylumbelliferyl α-D-glucoside",[H][C@]1(CO)O[C@]([H])(OC2=CC3=C(C=C2)C(C)=CC(=O)O3)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Experimental
"Fumagillin",CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O,Experimental
"Heptanamide",CCCCCCC(N)=O,Experimental
"[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate",OP(O)(=O)CNC(=O)OCC1=CC=CC=C1,Experimental
"N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate",CCCCCCCCCCCC[N+](C)(C)CCCS(O)(=O)=O,Experimental
"N-omega-propyl-L-arginine",[H]N([H])[C@@H](CCCN([H])C(\N([H])[H])=[N+](/[H])CCC)C(O)=O,Experimental
"3,4-Epoxybutyl-Alpha-D-Glucopyranoside",[H][C@]1(CCO[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)CO1,Experimental
"Nitrosoethane",CCN=O,Experimental
"N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide",O=C(NC1=CC(=NN1)C1CC1)C1=CC=CC=C1,Experimental
"(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium",C[N+](C)(C)C[C@H](O)CC(O)=O,Experimental
"3-Amino-3-Oxopropanoic Acid",NC(=O)CC(O)=O,Experimental
"Trichloroacetaldehyde",[H]C(=O)C(Cl)(Cl)Cl,Experimental
"{[2-(1h-1,2,3-Benzotriazol-1-Yl)-2-(3,4-Difluorophenyl)Propane-1,3-Diyl]Bis[4,1-Phenylene(Difluoromethylene)]}Bis(Phosphonic Acid)",OP(O)(=O)C(F)(F)C1=CC=C(CC(CC2=CC=C(C=C2)C(F)(F)P(O)(O)=O)(N2N=NC3=C2C=CC=C3)C2=CC=C(F)C(F)=C2)C=C1,Experimental
"L-[(N-Hydroxyamino)Carbonyl]Phenylalanine",[H]N(O)C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(O)=O,Experimental
"6-hydroxy-FAD",CC1=CC2=C(N=C3C(=O)NC(=O)N=C3N2C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)C(O)=C1C,Experimental
"D-Aspartic Acid",N[C@H](CC(O)=O)C(O)=O,Experimental
"LY-294002",O=C1C=C(OC2=C1C=CC=C2C1=CC=CC=C1)N1CCOCC1,Experimental
"Glucosamine 6-Phosphate",N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,Experimental
"2,4-Dinitrophenyl 2-Deoxy-2-Fluoro-Beta-D-Allopyranoside",[H][C@]1(CO)O[C@@]([H])(OC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)[C@]([H])(F)[C@@]([H])(O)[C@]1([H])O,Experimental
"Cholic Acid",[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C,Approved
"Filaminast",COC1=CC=C(C=C1OC1CCCC1)C(\C)=N\OC(N)=O,Experimental
"Adenosine-5'-diphosphate-2',3'-vanadate",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H]2O[V](=O)(=O)O[C@H]12,Experimental
"Novo Nordisk a/S Compound",OC(=O)C(=O)NC1=C(C=C(I)C=C1)C(O)=O,Experimental
"2-Amino-4-(Hydroxymethyl-Phosphinyl)Butanoic Acid",C[P@@](O)(=O)CC[C@@H](N)C(O)=O,Experimental
"1-Butane Boronic Acid",CCCCB(O)O,Experimental
"(1R,2S)-2-Phenylcyclopropanaminium",[NH3+][C@@H]1C[C@H]1C1=CC=CC=C1,Experimental
"(C8-R)-hydantocidin 5'-phosphate",[H]N1C(=O)N(CCC[C@@H](N(O)CO)C(O)=O)C(=O)[C@]11O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,Experimental
"Factor IIIm",COC1=CC=C2N(C=NC2=C1)[C@H]1O[C@H](CO)[C@@H](O[P@]([OH-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)C3=[N+]4C2=C(C)C2=[N+]5C(=CC6=[N+]7C(=C(C)C8=[N+]([C@]3(C)[C@@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co]457)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O)[C@H]1O,Experimental
"JE-2147",CC1=CC=CC=C1CNC(=O)[C@H]1N(CSC1(C)C)C(=O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CC=CC(O)=C1C,Experimental
"RB106",[H][C@](S)(CC1=CC=CC=C1)C(=O)NCC(=O)N1[C@@]([H])(CC[C@]1([H])C1=CC=CC=C1)C(O)=O,Experimental
"4-Deoxy-Alpha-D-Glucose",[H][C@]1(O)C[C@@]([H])(CO)O[C@]([H])(O)[C@]1([H])O,Experimental
"1-Methylimidazole",CN1C=C[NH+]=C1,Experimental
"(4aS,6R,8aS)-11-[8-(1,3-Dioxo-1,3-dihydro-2H-isoindol-2-yl)octyl]-6-hydroxy-3-methoxy-5,6,9,10-tetrahydro-4aH-[1]benzofuro[3a,3,2-ef][2]benzazepin-11-ium",COC1=CC=C2C=[N+](CCCCCCCCN3C(=O)C4=C(C=CC=C4)C3=O)CC[C@@]34C=C[C@H](O)C[C@@H]3OC1=C24,Experimental
"4-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Butyricacid",[H][C@]12CS[C@@]([H])(CCCC(O)=O)[C@@]1([H])NC(=O)N2,Experimental
"(4-Hydroxymaltosephenyl)Glycine",[H][C@@](N)(C(O)=O)C1=CC=C(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O)C=C1,Experimental
"2-[3-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Propylamino]-2-Hydroxymethyl-Propane-1,3-Diol",OCC(CO)(CO)NCCCNC(CO)(CO)CO,Experimental
"D-naphthyl-1-acetamido boronic acid alanine",CC(=O)N[C@H](CC1=CC=CC2=C1C=CC=C2)[B-](O)(O)OC[C@H](N)C(O)=O,Experimental
"2-Deoxy-2-Aminogalactose",N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,Experimental
"Cyanamide",NC#N,Experimental
"Dinitrophenylene",[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,Experimental
"2,8-bis[oxido(oxo)vanadio]-1,1,1,3,5,5,7,7,9,9,9-undecaoxopentavanadoxane-2,8-diium",[O-][V](=O)[O+]([V](=O)O[V](=O)(=O)O[V](=O)(=O)[O+]([V]([O-])=O)[V](=O)(=O)=O)[V](=O)(=O)=O,Experimental
"Inhibitor Bea428",[H][C@@](O)([C@@]([H])(O)[C@@]([H])(OCC1=CC=C(C=C1)C1=CN=CC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC)[C@@]([H])(OCC1=CC=C(C=C1)C1=CN=CC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC,Experimental
"5'-O-(L-Cysteinylsulfamoyl)adenosine",[H]N([H])[C@@H](CS)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H],Experimental
"3-Methylphenylalanine",CC1=CC=CC(C[C@H](N)C(O)=O)=C1,Experimental
"Undecyl-Beta-D-Maltopyranoside",[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(O)[C@]([H])(OCCCCCCCCCCC)O[C@]2([H])CO)[C@]1([H])O,Experimental
"2,3-Didehydroalanine",NC(=C)C(O)=O,Experimental
"S-{2-[Amino(Dihydroxy)-Lambda~4~-Sulfanyl]Ethyl}-D-Cysteine",[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,Experimental
"NU1025",CC1=NC2=C(C=CC=C2O)C(=O)N1,Experimental
"Glycocholic acid",[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCC([O-])=O,Experimental;Investigational
"(4S,5S)-1,2-dithiane-4,5-diol",[H][C@@]1(O)CSSC[C@@]1([H])O,Experimental
"Pantoyl Adenylate",[H][C@](O)(C(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(C)(C)CO,Experimental
"O1-Pentyl-Mannose",[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OCCCCC)[C@@]1([H])O,Experimental
"6-Aminohexyl-uridine-C1,5'-diphosphate",[H]N([H])CCCCCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)N([H])C1=O,Experimental
"Hydroxyaminovaline",CC(C)[C@@H](N)C(=O)NO,Experimental
"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid",OC(=O)C1=CC=CC2=C1OC1=C(C=CC=C1C(O)=O)N2C1=CC(=CC=C1)C(F)(F)F,Experimental
"4-Oxoretinol",C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)C(=O)CCC1(C)C,Experimental
"3-Deoxy-D-Glucosamine",[H][C@@]1(N)C[C@]([H])(O)[C@@]([H])(CO)O[C@]1([H])O,Experimental
"Nicotinamide",NC(=O)C1=CC=CN=C1,Approved;Investigational
"XV638",[H][C@]1(CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)[C@]([H])(CC2=CC=CC=C2)[C@]([H])(O)[C@@]1([H])O,Experimental
"Fusidic acid",O[C@@H]1CC[C@@]2(C)[C@@]([H])(CC[C@@]3(C)[C@@]2([H])[C@H](O)C[C@@]2([H])\C([C@@H](OC(=O)C)C[C@]32C)=C(/CCC=C(C)C)C(O)=O)[C@@H]1C,Approved;Investigational
"(2R,3R,4R,5R)-3,4-Dihydroxy-N,N'-bis[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]-2,5-bis(2-phenylethyl)hexanediamide",O[C@@H]([C@H](O)[C@@H](CCC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2)[C@@H](CCC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2,Experimental
"6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",[H][C@]1(NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2)C(C)C,Experimental
"Mercaptocarboxylate Inhibitor",[H][C@](CS)(CCC1=CC=CC=C1)C(=O)N=C(C(O)=O)C1=CC=C(CN2C=NN=N2)S1,Experimental
"Pentyl Trihydrogen Diphosphate",CCCCCO[P@](O)(=O)OP(O)(O)=O,Experimental
"Resveratrol",OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,Approved;Experimental;Investigational
"2,3,-Dihydroxybenzoylserine",[H][C@@](CO)(NC(=O)C1=C(O)C(O)=CC=C1)C(O)=O,Experimental
"4-{2,6,8-Trioxo-9-[(2S,3R,4R)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Butyl Dihydrogen Phosphate",OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)N(CCCCOP(O)(O)=O)C2=C1NC(=O)NC2=O,Experimental
"Sorbinil",FC1=CC=C2OCC[C@]3(NC(=O)NC3=O)C2=C1,Experimental;Investigational
"Acetylamino-Acetic Acid",CC(=O)NCC(O)=O,Experimental
"3'-Uridinemonophosphate",OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O,Experimental
"Compound 18",[H][C@](C)(COC1=CC=C(C=C1)[C@]1([H])OC2=C(S[C@]1([H])C1=CC=C(O)C=C1)C=C(O)C=C2)N1CCCC1,Experimental
"7-methyl-guanosine-5'-triphosphate",C[N+]1=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2,Experimental
"Cellotetraose",[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O[C@]4([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O,Experimental
"C-(1-hydrogyl-beta-D-glucopyranosyl) formamide",[H]N([H])C(=O)[C@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Experimental
"alpha-D-glucopyranosyl-2-carboxylic acid amide",[H]N([H])C(=O)[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Experimental
"4-Iodopyrazole",IC1=CNN=C1,Experimental
"4-O-methyl-beta-D-glucuronic acid",CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)O[C@@H]1C(O)=O,Experimental
"4-Oxo-2-Phenylmethanesulfonyl-Octahydro-Pyrrolo[1,2-a]Pyrazine-6-Carboxylic Acid [1-(N-Hydroxycarbamimidoyl)-Piperidin-4-Ylmethyl]-Amide",O\N=C(/N)N1CCC(CC1)CNC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)S(=O)(=O)CC1=CC=CC=C1,Experimental
"Delta-2-Albomycin A1",O1N2C(=[O+][Fe-3]1134ON(C(=[O+]1)C)CCC[C@](C(=O)N[C@@](C(=O)N[C@@](C(O)=O)([C@@]([C@]1(S[C@@](N5C=C\C(=N\C(N)=O)N(C5=O)C)([C@@]([C@]1([H])O)([H])O)[H])[H])([H])O)[H])([H])CO)([H])NC([C@@]([H])(CCCN(O3)C(=[O+]4)C)NC([C@]([H])(N)CCC2)=O)=O)C,Experimental
"2-Amino-4-(4-Amino-Cyclohexa-2,5-Dienyl)-Butyric Acid",[H][C@](N)(CC[C@@]1([H])C=CC([H])(N)C=C1)C(O)=O,Experimental
"2-Phosphoglycolic Acid",OC(=O)COP(O)(O)=O,Experimental
"2-butyl-1-hydroxyguanidine",CCCC\N=C(/N)NO,Experimental
"7-Hydroxy-2-Oxo-Chromene-3-Carboxylic Acid Ethyl Ester",CCOC(=O)C1=CC2=CC=C(O)C=C2OC1=O,Experimental
"SD146",O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC=CC(=C2)C(=O)NC2=NC3=C(N2)C=CC=C3)C(=O)N(CC2=CC(=CC=C2)C(=O)NC2=NC3=C(N2)C=CC=C3)[C@@H]1CC1=CC=CC=C1,Experimental
"4-Methylthio-Alpha-D-Mannose",[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(SC)[C@]([H])(O)[C@@]1([H])O,Experimental
"Ethylmercurithiosalicylic acid",CC[Hg]SC1=CC=CC=C1C(O)=O,Experimental
"[(2R,3S,4R,5R)-5-(4-acetonyl-3-carbamoyl-pyridin-1-ium-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] phosphate",[H]N([H])C(=O)C1=C(CC(C)=O)C=C[N+](=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O,Experimental
"Purvalanol",[H][C@@](CO)(NC1=NC2=C(N=CN2C(C)C)C(NC2=CC=C(C(O)=O)C(Cl)=C2)=N1)C(C)C,Experimental
"4-Deoxy-D-Mannuronic Acid",[H][C@@]1(O)OC(=C[C@]([H])(O)[C@]1([H])O)C(O)=O,Experimental
"2-Amino-3-Oxo-4-Sulfo-Butyric Acid",[H][C@@](N)(C(O)=O)[C@@]([H])(O)OS(O)(=O)=O,Experimental
"Acetamide",CC(N)=O,Experimental
"Adenosine-5'-Pentaphosphate",NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)O[P@@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,Experimental
"3-Indolebutyric Acid",OC(=O)CCCC1=CNC2=C1C=CC=C2,Experimental
"CD564",CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O,Experimental
