Drug,SMILES,Groups
"Tobramycin",NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,Approved;Investigational
"Trovafloxacin",[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=C(F)C=C(F)C=C1)C(O)=O,Approved;Investigational;Withdrawn
"Pentosan polysulfate",O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O,Approved
"Fludrocortisone",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,Approved;Investigational
"Mycophenolate mofetil",COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C,Approved;Investigational
"Cephaloglycin",[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,Approved
"Flurazepam",CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,Approved;Illicit;Investigational
"Moexipril",CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O,Approved
"Phentolamine",CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1,Approved
"Fluorescein",OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=C2C=CC=C3)=C1,Approved
"Daunorubicin",COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,Approved
"Furosemide",NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,Approved;VetApproved
"Ergotamine",[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O,Approved
"Tizanidine",ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1,Approved;Investigational
"Nitrofurantoin",[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,Approved;VetApproved
"Nicergoline",[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CN=CC(Br)=C1)CN2C)OC,Approved;Investigational
"Eplerenone",[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC,Approved
"Amprenavir",CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Approved;Investigational
"Methazolamide",CN1N=C(SC1=NC(C)=O)S(N)(=O)=O,Approved
"Naltrexone",[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,Approved;Investigational;VetApproved
"Delavirdine",CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,Approved
"Tamsulosin",CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,Approved;Investigational
"Sufentanil",CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,Approved;Investigational
"Lamivudine",NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,Approved;Investigational
"Ibandronate",CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,Approved;Investigational
"Diethylcarbamazine",CCN(CC)C(=O)N1CCN(C)CC1,Approved;Investigational;VetApproved
"Flurbiprofen",CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,Approved;Investigational
"Oxacillin",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)C(O)=O,Approved;Investigational
"Apomorphine",[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,Approved;Investigational
"Paroxetine",FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,Approved;Investigational
"Nedocromil",CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O,Approved;Investigational
"Norethisterone",[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],Approved
"Adefovir dipivoxil",CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C,Approved;Investigational
"Azatadine",CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2,Approved
"Clodronic acid",OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,Approved;Investigational;VetApproved
"Procaine",CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,Approved;Investigational;VetApproved
"Lisinopril",NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,Approved;Investigational
"Methoxamine",COC1=CC(C(O)C(C)N)=C(OC)C=C1,Approved;Investigational
"Imiquimod",CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N,Approved;Investigational
"Homatropine methylbromide",[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1,Approved
"Trimipramine",CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,Approved
"Nitroglycerin",[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,Approved;Investigational
"Rocuronium",[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1,Approved
"Thiabendazole",N1C2=CC=CC=C2N=C1C1=CSC=N1,Approved;VetApproved
"Nateglinide",CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,Approved;Investigational
"Atracurium besylate",[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2,Approved
"Pralidoxime",C[N+]1=C(\C=N\O)C=CC=C1,Approved;VetApproved
"Risperidone",CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,Approved;Investigational
"Naftifine",CN(CC=CC1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12,Approved
"Esomeprazole",COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,Approved;Investigational
"Meclizine",CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1,Approved
"Pentamidine",NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,Approved;Investigational
"Hetacillin",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)C1=CC=CC=C1)C(O)=O,Approved;VetApproved;Withdrawn
"Riluzole",NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,Approved;Investigational
"Hydrocortisone",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,Approved;VetApproved
"Mannitol",OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Approved;Investigational
"Gadobenic acid",[Gd+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)C(COCC1=CC=CC=C1)C(O)=O,Approved;Investigational
"Zileuton",CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,Approved;Investigational;Withdrawn
"Modafinil",NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Approved;Investigational
"Deferoxamine",CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,Approved;Investigational
"Scopolamine",CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,Approved;Investigational
"Carbinoxamine",CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,Approved
"Etodolac",CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,Approved;Investigational;VetApproved
"Prilocaine",CCCNC(C)C(=O)NC1=CC=CC=C1C,Approved
"Epinastine",NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21,Approved;Investigational
"Tranylcypromine",NC1CC1C1=CC=CC=C1,Approved;Investigational
"Isoflurane",FC(F)OC(Cl)C(F)(F)F,Approved;VetApproved
"Ethotoin",CCN1C(=O)NC(C1=O)C1=CC=CC=C1,Approved
"Tretinoin",C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,Approved;Investigational;Nutraceutical
"Hexachlorophene",OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,Approved;Withdrawn
"Dolasetron",[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2,Approved;Investigational
"Clopidogrel",[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,Approved
"Tetracycline",[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,Approved;VetApproved
"Meropenem",[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H],Approved;Investigational
"Potassium chloride",[Cl-].[K+],Approved;Withdrawn
"Irinotecan",CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,Approved;Investigational
"Methimazole",CN1C=CNC1=S,Approved
"Mometasone",[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Approved;VetApproved
"Metyrosine",C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O,Approved
"Clavulanic acid",[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO,Approved;VetApproved
"Olopatadine",CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2,Approved
"Hydrocortamate",[H][C@@]12CC[C@](O)(C(=O)COC(=O)CN(CC)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,Approved
"Alprostadil",CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,Approved;Investigational
"Clidinium",C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Approved
"Malathion",CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Approved;Investigational
"Etoposide",[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,Approved
"Hydroflumethiazide",NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F,Approved;Investigational
"Tirofiban",CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,Approved
"Oxcarbazepine",NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2,Approved
"Propiomazine",CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CC(C)N(C)C)C=C1,Approved
"Roxithromycin",CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,Approved;Investigational;Withdrawn
"Nalidixic acid",CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2,Approved;Investigational
"Phenelzine",NNCCC1=CC=CC=C1,Approved
"Propantheline",CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,Approved
"Estradiol",[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,Approved;Investigational;VetApproved
"Mefenamic acid",CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,Approved
"Acyclovir",NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Approved
"Naproxen",COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,Approved;VetApproved
"Gadopentetic acid",[Gd+3].OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O,Approved
"Perindopril",[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,Approved
"Uracil mustard",ClCCN(CCCl)C1=CNC(=O)NC1=O,Approved
"Tripelennamine",CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1,Approved;VetApproved
"Haloprogin",ClC1=CC(Cl)=C(Cl)C=C1OCC#CI,Approved;Withdrawn
"Primidone",CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,Approved;VetApproved
"Sulfasalazine",OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,Approved
"Candesartan cilexetil",CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1,Approved
"Tolazoline",C(C1=NCCN1)C1=CC=CC=C1,Approved;VetApproved
"Gentamicin",CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,Approved;VetApproved
"Tazarotene",CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1,Approved;Investigational
"Fenoldopam",OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12,Approved
"Halazepam",FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,Approved;Illicit;Withdrawn
"Alfentanil",CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,Approved;Illicit
"Colistin",CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C(NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,Approved
"Dicyclomine",CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,Approved
"Minaprine",CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1,Approved
"Pentoxifylline",CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,Approved;Investigational
"Proparacaine",CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC,Approved;VetApproved
"Indapamide",CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,Approved
"Tropicamide",CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,Approved;Investigational
"Biperiden",OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,Approved;Investigational
"Ribavirin",NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Approved
"Phenylbutazone",CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,Approved;VetApproved
"Fentanyl",CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,Approved;Illicit;Investigational;VetApproved
"Meloxicam",CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,Approved;VetApproved
"Sodium lauryl sulfate",[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,Approved
"Orciprenaline",CC(C)NCC(O)C1=CC(O)=CC(O)=C1,Approved
"Rosoxacin",CCN1C=C(C(O)=O)C(=O)C2=C1C=C(C=C2)C1=CC=NC=C1,Approved;Investigational
"Propofol",CC(C)C1=CC=CC(C(C)C)=C1O,Approved;Investigational;VetApproved
"Acetazolamide",CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Approved;VetApproved
"Tadalafil",[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1,Approved;Investigational
"Carprofen",CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,Approved;VetApproved;Withdrawn
"Disulfiram",CCN(CC)C(=S)SSC(=S)N(CC)CC,Approved
"Ethynodiol diacetate",[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CC[C@H](OC(C)=O)C=C3CC[C@@]21[H],Approved
"Enprofylline",CCCN1C2=C(NC=N2)C(=O)NC1=O,Approved;Experimental
"Levomenthol",CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,Approved
"Natamycin",[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3,Approved
"Cinoxacin",CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,Approved;Investigational;Withdrawn
"Fosfomycin",C[C@@H]1O[C@@H]1P(O)(O)=O,Approved
"Diazepam",CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,Approved;Illicit;Investigational;VetApproved
"Phenmetrazine",CC1NCCOC1C1=CC=CC=C1,Approved;Illicit
"Trifluoperazine",CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,Approved;Investigational
"Phensuximide",CN1C(=O)CC(C1=O)C1=CC=CC=C1,Approved
"Cefaclor",[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,Approved
"Mifepristone",[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],Approved;Investigational
"Brompheniramine",CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,Approved
"Loperamide",CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1,Approved
"Clocortolone",[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Approved
"Tolazamide",CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,Approved;Investigational
"Dobutamine",CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1,Approved
"Oxazepam",OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,Approved
"Donepezil",COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,Approved
"Nalbuphine",O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5,Approved
"Clofazimine",CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,Approved;Investigational
"Flurandrenolide",CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,Approved
"Cysteamine",NCCS,Approved;Investigational
"Levamisole",C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,Approved;Investigational;VetApproved;Withdrawn
"Methylphenobarbital",CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,Approved
"Perphenazine",OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,Approved
"Dacarbazine",CN(C)\N=N\C1=C(N=CN1)C(N)=O,Approved;Investigational
"Pseudoephedrine",CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,Approved
"Temozolomide",CN1N=NC2=C(N=CN2C1=O)C(N)=O,Approved;Investigational
"Levorphanol",[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,Approved
"Aminolevulinic acid",NCC(=O)CCC(O)=O,Approved
"Chlorphenesin",OCC(O)COC1=CC=C(Cl)C=C1,Approved;Experimental
"Terbinafine",CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,Approved;Investigational;VetApproved
"Penicillamine",[H][C@](N)(C(O)=O)C(C)(C)S,Approved
"Prednisolone",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Approved;VetApproved
"Diflunisal",OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,Approved;Investigational
"Vardenafil",CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,Approved
"Ranitidine",CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,Approved
"Tacrolimus",CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,Approved;Investigational
"Benzphetamine",C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1,Approved;Illicit
"Ritodrine",C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C1=CC=C(O)C=C1,Approved;Investigational
"Benzonatate",CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,Approved
"Dorzolamide",CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,Approved
"Suprofen",CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,Approved;Withdrawn
"Terbutaline",CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,Approved
"Conivaptan",CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,Approved;Investigational
"Loteprednol etabonate",[H][C@@]12CC[C@](OC(=O)OCC)(C(=O)OCCl)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Approved
"Guaifenesin",COC1=CC=CC=C1OCC(O)CO,Approved;Investigational;VetApproved
"Flupentixol",[H]\C(CCN1CCN(CCO)CC1)=C1/C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,Approved;Investigational;Withdrawn
"Eprosartan",CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,Approved
"Sirolimus",[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,Approved;Investigational
"Chlorhexidine",ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,Approved;VetApproved;Withdrawn
"Emtricitabine",NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,Approved;Investigational
"Chlorothiazide",NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1,Approved;VetApproved
"Quinapril",CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,Approved;Investigational
"Clomifene",CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,Approved;Investigational
"Isosorbide dinitrate",[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,Approved;Investigational
"Risedronic acid",OC(CC1=CN=CC=C1)(P(O)(O)=O)P(O)(O)=O,Approved;Investigational
"Pemirolast",CC1=CC=CN2C(=O)C(=CN=C12)C1=NNN=N1,Approved;Investigational
"Bumetanide",CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,Approved
"Mechlorethamine",CN(CCCl)CCCl,Approved;Investigational
"Granisetron",CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2,Approved;Investigational
"Dienestrol",[H]\C(C)=C(/C(=C(\[H])C)/C1=CC=C(O)C=C1)\C1=CC=C(O)C=C1,Approved;Investigational
"Sulfapyridine",NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,Approved
"Oxybuprocaine",CCCCOC1=C(N)C=CC(=C1)C(=O)OCCN(CC)CC,Approved;Investigational
"Testolactone",[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)OC(=O)CC[C@@]21[H],Approved;Investigational
"Rimexolone",[H][C@@]12C[C@@H](C)[C@](C)(C(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Approved
"Triazolam",CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,Approved;Investigational
"Ethanol",CCO,Approved
